都市,日付,年,月,日,日射量_kWh_m2,推定日照時間_h
ハワイ,2024-04-19,2024,4,19,5.7842,7.71
ハワイ,2024-04-20,2024,4,20,6.389,8.52
ハワイ,2024-04-21,2024,4,21,6.4346,8.58
ハワイ,2024-04-22,2024,4,22,7.321,9.76
ハワイ,2024-04-23,2024,4,23,7.3085,9.74
ハワイ,2024-04-24,2024,4,24,5.6878,7.58
ハワイ,2024-04-25,2024,4,25,6.8506,9.13
ハワイ,2024-04-26,2024,4,26,6.0173,8.02
ハワイ,2024-04-27,2024,4,27,5.7106,7.61
ハワイ,2024-04-28,2024,4,28,7.4033,9.87
ハワイ,2024-04-29,2024,4,29,6.4459,8.59
ハワイ,2024-04-30,2024,4,30,6.5182,8.69
ハワイ,2024-05-01,2024,5,1,7.164,9.55
ハワイ,2024-05-02,2024,5,2,6.2899,8.39
ハワイ,2024-05-03,2024,5,3,6.2882,8.38
ハワイ,2024-05-04,2024,5,4,6.3874,8.52
ハワイ,2024-05-05,2024,5,5,7.0488,9.4
ハワイ,2024-05-06,2024,5,6,6.611,8.81
ハワイ,2024-05-07,2024,5,7,6.486,8.65
ハワイ,2024-05-08,2024,5,8,7.3548,9.81
ハワイ,2024-05-09,2024,5,9,7.0097,9.35
ハワイ,2024-05-10,2024,5,10,5.6362,7.51
ハワイ,2024-05-11,2024,5,11,6.631,8.84
ハワイ,2024-05-12,2024,5,12,6.5604,8.75
ハワイ,2024-05-13,2024,5,13,6.785,9.05
ハワイ,2024-05-14,2024,5,14,6.0708,8.09
ハワイ,2024-05-15,2024,5,15,5.7178,7.62
ハワイ,2024-05-16,2024,5,16,3.133,4.18
ハワイ,2024-05-17,2024,5,17,5.61,7.48
ハワイ,2024-05-18,2024,5,18,2.814,3.75
ハワイ,2024-05-19,2024,5,19,3.5491,4.73
ハワイ,2024-05-20,2024,5,20,6.8599,9.15
ハワイ,2024-05-21,2024,5,21,7.3776,9.84
ハワイ,2024-05-22,2024,5,22,7.1407,9.52
ハワイ,2024-05-23,2024,5,23,6.2916,8.39
ハワイ,2024-05-24,2024,5,24,7.5214,10.03
ハワイ,2024-05-25,2024,5,25,6.9955,9.33
ハワイ,2024-05-26,2024,5,26,7.3174,9.76
ハワイ,2024-05-27,2024,5,27,6.3494,8.47
ハワイ,2024-05-28,2024,5,28,6.5719,8.76
ハワイ,2024-05-29,2024,5,29,7.0622,9.42
ハワイ,2024-05-30,2024,5,30,7.5336,10.04
ハワイ,2024-05-31,2024,5,31,6.5458,8.73
ハワイ,2024-06-01,2024,6,1,7.5612,10.08
ハワイ,2024-06-02,2024,6,2,7.5302,10.04
ハワイ,2024-06-03,2024,6,3,6.5887,8.78
ハワイ,2024-06-04,2024,6,4,6.4087,8.54
ハワイ,2024-06-05,2024,6,5,7.0255,9.37
ハワイ,2024-06-06,2024,6,6,7.1054,9.47
ハワイ,2024-06-07,2024,6,7,7.4203,9.89
ハワイ,2024-06-08,2024,6,8,7.572,10.1
ハワイ,2024-06-09,2024,6,9,7.26,9.68
ハワイ,2024-06-10,2024,6,10,7.6982,10.26
ハワイ,2024-06-11,2024,6,11,7.5221,10.03
ハワイ,2024-06-12,2024,6,12,7.1892,9.59
ハワイ,2024-06-13,2024,6,13,7.6246,10.17
ハワイ,2024-06-14,2024,6,14,7.309,9.75
ハワイ,2024-06-15,2024,6,15,7.7626,10.35
ハワイ,2024-06-16,2024,6,16,7.457,9.94
ハワイ,2024-06-17,2024,6,17,6.3804,8.51
ハワイ,2024-06-18,2024,6,18,6.5009,8.67
